id,key,value,type
245711024,source,AND,regular
245711197,ele,53,regular
245711197,name,Ahmedabad,regular
245711197,place,City,regular
245711197,capital,5,regular
245711197,de,Ahmedabad,name
245711197,en,Ahmedabad,name
245711197,gu,અમદાવાદ,name
245711197,hi,अहमदाबाद,name
245711197,ja,アフマダーバード,name
245711197,kn,ಅಹ್ಮದಾಬಾದ್,name
245711197,pl,Ahmedabad,name
245711197,ru,Ахмадабад,name
245711197,ta,அகமதாபாத்,name
245711197,uk,Ахмедабад,name
245711197,zh,艾哈迈达巴德,name
245711197,int_name,Ahmedabad,regular
245711197,wikidata,Q1070,regular
245711197,cca,A,place
245711197,wikipedia,En:Ahmedabad,regular
245711197,population,6352254,regular
245711197,postal_code,380001,regular
245711197,continent,Asia,is_in
245711197,iso_3166_2,IN-GJ,is_in
245711252,source,AND,regular
245711347,source,AND,regular
245711438,source,AND,regular
245711443,source,AND,regular
245711446,source,AND,regular
245711465,source,AND,regular
245711479,source,AND,regular
245711482,source,AND,regular
245711489,source,AND,regular
245711515,source,AND,regular
245711520,source,AND,regular
245711523,source,AND,regular
245711530,source,AND,regular
245711551,source,AND,regular
245711883,source,AND,regular
245712036,source,AND,regular
245712114,source,AND,regular
322633904,railway,Level_Crossing,regular
322645590,railway,Level_Crossing,regular
322645708,railway,Level_Crossing,regular
322702345,power,Tower,regular
322702348,power,Tower,regular
322702356,power,Tower,regular
322702359,power,Tower,regular
322702388,power,Tower,regular
322702410,power,Tower,regular
322702454,power,Tower,regular
322702466,power,Tower,regular
322702476,power,Tower,regular
322702617,power,Tower,regular
322702618,power,Tower,regular
322702620,power,Tower,regular
322702634,power,Tower,regular
322702635,power,Tower,regular
322702638,power,Tower,regular
322702639,power,Tower,regular
322702645,power,Tower,regular
322702646,power,Tower,regular
322702650,power,Tower,regular
322702653,power,Tower,regular
322702657,power,Tower,regular
322702745,power,Tower,regular
322702757,power,Tower,regular
322702763,power,Tower,regular
322702764,power,Tower,regular
322702769,power,Tower,regular
322702770,power,Tower,regular
322702774,power,Tower,regular
322702973,power,Tower,regular
322702974,power,Tower,regular
322703030,power,Tower,regular
322703039,power,Tower,regular
322703047,power,Tower,regular
322703048,power,Tower,regular
322703055,power,Tower,regular
322703058,power,Tower,regular
322703060,power,Tower,regular
322703063,power,Tower,regular
322703073,power,Tower,regular
322703074,power,Tower,regular
322703082,power,Tower,regular
322703092,power,Tower,regular
322703118,power,Tower,regular
322703122,power,Tower,regular
322703142,power,Tower,regular
322703290,power,Tower,regular
322703291,power,Tower,regular
322703296,power,Tower,regular
322703304,power,Tower,regular
322703305,power,Tower,regular
322703307,power,Tower,regular
322703378,power,Tower,regular
322703445,power,Tower,regular
322703470,power,Tower,regular
322703500,power,Tower,regular
322703504,power,Tower,regular
322703509,power,Tower,regular
322703510,power,Tower,regular
322703512,power,Tower,regular
322704090,power,Tower,regular
322704094,power,Tower,regular
322704746,power,Tower,regular
322704748,power,Tower,regular
322704781,power,Tower,regular
322704782,power,Tower,regular
322704784,power,Tower,regular
322704809,power,Tower,regular
322704868,power,Tower,regular
322704875,power,Tower,regular
322704881,power,Tower,regular
322704965,power,Tower,regular
322704976,power,Tower,regular
322705019,power,Tower,regular
322705061,power,Tower,regular
322705065,power,Tower,regular
322705083,power,Tower,regular
322705090,power,Tower,regular
322705114,power,Tower,regular
322705116,power,Tower,regular
322705128,power,Tower,regular
322705212,power,Tower,regular
322705215,power,Tower,regular
322705219,power,Tower,regular
322705235,power,Tower,regular
322705236,power,Tower,regular
322705239,power,Tower,regular
322705242,power,Tower,regular
322705356,power,Tower,regular
322705363,power,Tower,regular
322705384,power,Tower,regular
322705490,power,Tower,regular
322705493,power,Tower,regular
322705521,power,Tower,regular
322705607,power,Tower,regular
322705615,power,Tower,regular
322705621,power,Tower,regular
322705649,power,Tower,regular
322705673,power,Tower,regular
322705679,power,Tower,regular
322705682,power,Tower,regular
322705843,power,Tower,regular
322705851,power,Tower,regular
322705876,power,Tower,regular
322705944,power,Tower,regular
322705945,power,Tower,regular
322705950,power,Tower,regular
322705978,power,Tower,regular
322705990,power,Tower,regular
322706025,power,Tower,regular
322706244,power,Tower,regular
322706258,power,Tower,regular
322706333,power,Tower,regular
322706365,power,Tower,regular
322706386,power,Tower,regular
322706420,power,Tower,regular
322706473,power,Tower,regular
322706475,power,Tower,regular
322706476,power,Tower,regular
322706526,power,Tower,regular
322706532,power,Tower,regular
322706533,power,Tower,regular
322706541,power,Tower,regular
322706545,power,Tower,regular
322706557,power,Tower,regular
322706560,power,Tower,regular
322706567,power,Tower,regular
322706589,power,Tower,regular
322706602,power,Tower,regular
322706604,power,Tower,regular
322706605,power,Tower,regular
322706609,power,Tower,regular
322706610,power,Tower,regular
322706621,power,Tower,regular
322706625,power,Tower,regular
322706626,power,Tower,regular
322706628,power,Tower,regular
322706631,power,Tower,regular
322706643,power,Tower,regular
322706644,power,Tower,regular
322706646,power,Tower,regular
322706647,power,Tower,regular
322706740,power,Tower,regular
322706964,power,Tower,regular
322707008,power,Tower,regular
322707023,power,Tower,regular
322707026,power,Tower,regular
322707027,power,Tower,regular
322707030,power,Tower,regular
322707031,power,Tower,regular
322710548,power,Tower,regular
322710560,power,Tower,regular
322710634,power,Tower,regular
322710635,power,Tower,regular
322710640,power,Tower,regular
322710641,power,Tower,regular
322710643,power,Tower,regular
322710644,power,Tower,regular
322710645,power,Tower,regular
322710646,power,Tower,regular
322710647,power,Tower,regular
322710648,power,Tower,regular
322710649,power,Tower,regular
322710650,power,Tower,regular
322710659,power,Tower,regular
322710731,power,Tower,regular
322710766,power,Tower,regular
322710868,power,Tower,regular
322710880,power,Tower,regular
322710899,power,Tower,regular
322710900,power,Tower,regular
322710901,power,Tower,regular
322710934,power,Tower,regular
322710975,power,Tower,regular
322710978,power,Tower,regular
322710986,power,Tower,regular
322710993,power,Tower,regular
322711028,power,Tower,regular
322711048,power,Tower,regular
322711049,power,Tower,regular
322711051,power,Tower,regular
322711052,power,Tower,regular
322711053,power,Tower,regular
322711056,power,Tower,regular
322711130,power,Tower,regular
322711148,power,Tower,regular
322711150,power,Tower,regular
322711182,power,Tower,regular
322711186,power,Tower,regular
322711190,power,Tower,regular
322711197,power,Tower,regular
322711198,power,Tower,regular
322711200,power,Tower,regular
322715478,power,Tower,regular
322715692,power,Tower,regular
322716780,power,Tower,regular
322716781,power,Tower,regular
322716788,power,Tower,regular
322716789,power,Tower,regular
322716898,power,Tower,regular
322716911,power,Tower,regular
322716922,power,Tower,regular
322716935,power,Tower,regular
322717001,power,Tower,regular
322717008,power,Tower,regular
322717009,power,Tower,regular
322717010,power,Tower,regular
322717027,power,Tower,regular
322717030,power,Tower,regular
322717085,power,Tower,regular
322717086,power,Tower,regular
322717145,power,Tower,regular
322717146,power,Tower,regular
322717491,power,Tower,regular
322717492,power,Tower,regular
322717501,power,Tower,regular
322717576,power,Tower,regular
322717577,power,Tower,regular
322717628,power,Tower,regular
322717690,power,Tower,regular
322717730,power,Tower,regular
322717819,power,Tower,regular
322717929,power,Tower,regular
322717984,power,Tower,regular
322718009,power,Tower,regular
322718011,power,Tower,regular
322718015,power,Tower,regular
322718084,power,Tower,regular
322718085,power,Tower,regular
322718271,power,Tower,regular
322718272,power,Tower,regular
322718294,power,Tower,regular
322718295,power,Tower,regular
322718296,power,Tower,regular
322718325,power,Tower,regular
322718326,power,Tower,regular
322718328,power,Tower,regular
322718390,power,Tower,regular
322718520,power,Tower,regular
322718723,power,Tower,regular
322718724,power,Tower,regular
322718725,power,Tower,regular
322718726,power,Tower,regular
322718729,power,Tower,regular
322718730,power,Tower,regular
322718731,power,Tower,regular
322718732,power,Tower,regular
322718733,power,Tower,regular
322718734,power,Tower,regular
322718735,power,Tower,regular
322718736,power,Tower,regular
322718748,power,Tower,regular
322718777,power,Tower,regular
322718790,power,Tower,regular
322718793,power,Tower,regular
322718796,power,Tower,regular
322718822,power,Tower,regular
322718864,power,Tower,regular
322718871,power,Tower,regular
322718876,power,Tower,regular
322718903,power,Tower,regular
322719262,power,Tower,regular
322719275,power,Tower,regular
322719390,power,Tower,regular
322719444,power,Tower,regular
322719466,power,Tower,regular
322719467,power,Tower,regular
322719468,power,Tower,regular
322719966,power,Tower,regular
322719985,power,Tower,regular
322719986,power,Tower,regular
322720004,power,Tower,regular
322720043,power,Tower,regular
322720072,power,Tower,regular
322720078,power,Tower,regular
322720081,power,Tower,regular
322720082,power,Tower,regular
322720084,power,Tower,regular
322720085,power,Tower,regular
322720088,power,Tower,regular
322720100,power,Tower,regular
322720129,power,Tower,regular
322720138,power,Tower,regular
322720139,power,Tower,regular
322720141,power,Tower,regular
322720156,power,Tower,regular
322720158,power,Tower,regular
322720197,power,Tower,regular
322720209,power,Tower,regular
322720210,power,Tower,regular
