id,key,value,type
22826379,landuse,Residential,regular
22866823,ref,SH17,regular
22866823,oneway,Yes,regular
22866823,highway,Primary,regular
22867000,name,Naroda Road,regular
22867000,oneway,Yes,regular
22867000,highway,Primary,regular
22867000,motorroad,No,regular
22867003,name,Naroda Road,regular
22867003,oneway,Yes,regular
22867003,highway,Primary,regular
22867003,motorroad,No,regular
28842671,ref,NE1,regular
28842671,name,Ahmedabad Vadodara Expressway,regular
28842671,oneway,Yes,regular
28842671,highway,Motorway,regular
28842671,maxspeed,100,regular
28842695,ref,NE1,regular
28842695,name,Ahmedabad Vadodara Expressway,regular
28842695,oneway,Yes,regular
28842695,highway,Motorway,regular
28842695,maxspeed,100,regular
29325213,ref,SH3,regular
29325213,highway,Primary,regular
29325449,ref,SH3,regular
29325449,bridge,Yes,regular
29325449,highway,Primary,regular
29325449,created_by,Potlatch 0.10F,regular
29325450,ref,SH3,regular
29325450,highway,Primary,regular
29325772,gauge,1676,regular
29325772,usage,Main,regular
29325772,railway,Rail,regular
29325772,voltage,25000,regular
29325772,frequency,50,regular
29325772,electrified,Contact_Line,regular
29325772,passenger_lines,2,regular
29325773,gauge,1676,regular
29325773,usage,Main,regular
29325773,bridge,Yes,regular
29325773,railway,Rail,regular
29325773,voltage,25000,regular
29325773,frequency,50,regular
29325773,electrified,Contact_Line,regular
29325773,passenger_lines,2,regular
29325774,name,Western Railway Line,regular
29325774,gauge,1676,regular
29325774,usage,Main,regular
29325774,railway,Rail,regular
29325774,voltage,25000,regular
29325774,frequency,50,regular
29325774,electrified,Contact_Line,regular
29326646,highway,Tertiary,regular
29326844,highway,Tertiary,regular
29326844,created_by,Potlatch 0.10F,regular
29327676,ref,SH144,regular
29327676,highway,Primary,regular
29327681,railway,Rail,regular
29327681,created_by,Potlatch 0.10F,regular
29327876,highway,Tertiary,regular
29328587,name,Narmada Canal,regular
29328587,natural,Water,regular
29328587,waterway,Canal,regular
29329061,name,Narmada Canal,regular
29329061,natural,Water,regular
29329061,waterway,Canal,regular
29329273,name,Narmada Canal,regular
29329273,natural,Water,regular
29329273,waterway,Canal,regular
29329527,name,Narmada Canal,regular
29329527,natural,Water,regular
29329527,waterway,Riverbank,regular
29329538,name,Narmada Canal,regular
29329538,natural,Water,regular
29329538,waterway,Canal,regular
29333858,power,Line,regular
29333858,cables,3,regular
29333858,voltage,132000,regular
29333959,name,Ranasan,regular
29333959,power,Substation,regular
29334132,power,Line,regular
29334132,cables,6,regular
29334132,voltage,132000,regular
29334401,power,Line,regular
29334401,cables,6,regular
29334401,voltage,220000,regular
29335208,power,Line,regular
29335208,cables,6,regular
29335208,voltage,220000,regular
29335234,power,Line,regular
29335333,power,Line,regular
29335333,cables,3,regular
29335333,voltage,132000,regular
29335435,power,Line,regular
29335435,cables,3,regular
29335435,voltage,132000,regular
29335685,power,Line,regular
29335685,cables,3,regular
29335685,voltage,132000,regular
29335765,power,Line,regular
29335765,cables,3,regular
29335765,voltage,132000,regular
29339784,ref,SH2,regular
29339784,name,Rakhial Odhav Road,regular
29339784,layer,1,regular
29339784,bridge,Yes,regular
29339784,oneway,-1,regular
29339784,highway,Primary,regular
29340083,ref,SH68,regular
29340083,highway,Primary,regular
29340135,ref,SH68,regular
29340135,highway,Primary,regular
29340141,ref,SH68,regular
29340141,bridge,Yes,regular
29340141,highway,Primary,regular
29340300,highway,Primary,regular
29340300,new,N 48,ref
29340300,motorroad,No,regular
29340465,name,Kankaria Lake,regular
29340465,water,Lake,regular
29340465,natural,Water,regular
29340478,highway,Pedestrian,regular
29340478,created_by,Potlatch 0.10F,regular
29340509,layer,1,regular
29340509,bridge,Yes,regular
29340509,railway,Construction,regular
29340509,electrified,No,regular
29340509,construction,Rail,regular
29340509,gauge,1000,historic
29340509,passenger_lines,1,regular
29340510,railway,Construction,regular
29340510,electrified,No,regular
29340510,construction,Rail,regular
29340510,gauge,1000,historic
29340510,passenger_lines,1,regular
29340511,layer,1,regular
29340511,bridge,Yes,regular
29340511,railway,Construction,regular
29340511,electrified,No,regular
29340511,construction,Rail,regular
29340511,gauge,1000,historic
29340511,passenger_lines,1,regular
29340512,railway,Construction,regular
29340512,electrified,No,regular
29340512,construction,Rail,regular
29340512,gauge,1000,historic
29340512,passenger_lines,1,regular
29349715,waterway,Riverbank,regular
29349768,natural,Water,regular
29349855,name,Sabarmati,regular
29349855,natural,Water,regular
29349855,waterway,Riverbank,regular
29350057,waterway,Riverbank,regular
29350773,waterway,Riverbank,regular
29351171,name,Sabarmati,regular
